Hashsize	Subject	Cross Validation Fold	Model	Training Accuracy	Training F-Score	Test Accuracy	Test F-Score	Time to Evaluate Model
1000	3	1	2	88.4615384615	-1	88.4615384615	-1	35.8829069138
1000	3	1	3	88.4615384615	-1	88.4615384615	-1	21.8933598995
1000	3	2	1	96.7307692308	0.8316831683	96.7307692308	0.8316831683	16.1229879856
1000	3	2	2	89.0384615385	-1	89.0384615385	-1	35.7052218914
1000	3	2	3	89.0384615385	-1	89.0384615385	-1	20.7626311779
1000	3	3	1	96.1538461538	0.8387096774	96.1538461538	0.8387096774	16.944008112
1000	3	3	2	88.4615384615	-1	88.4615384615	-1	35.7792758942
1000	3	3	3	88.4615384615	-1	88.4615384615	-1	21.6271898746
1000	3	4	1	96.5384615385	0.8615384615	96.5384615385	0.8615384615	16.3716471195
1000	3	4	2	87.5	-1	87.5	-1	37.0673141479
1000	3	4	3	87.5	-1	87.5	-1	20.7938661575
1000	3	5	1	96.7307692308	0.8411214953	96.7307692308	0.8411214953	16.5636451244
1000	3	5	2	90	-1	90	-1	36.1780519485
1000	3	5	3	90	-1	90	-1	21.1775951385
1000	3	6	1	97.1153846154	0.8739495798	97.1153846154	0.8739495798	15.7437319756
1000	3	6	2	88.4615384615	-1	88.4615384615	-1	35.7891879082
1000	3	6	3	88.4615384615	-1	88.4615384615	-1	21.7271990776
1000	3	7	1	96.3461538462	0.8403361345	96.3461538462	0.8403361345	16.2117021084
1000	3	7	2	90.1923076923	0.32	90.1923076923	0.32	36.8770720959
1000	3	7	3	88.6538461538	-1	88.6538461538	-1	21.452051878
1000	3	8	1	96.1538461538	0.8333333333	96.1538461538	0.8333333333	16.1814329624
1000	3	8	2	88.0769230769	-1	88.0769230769	-1	36.1528060436
1000	3	8	3	88.0769230769	-1	88.0769230769	-1	20.8618838787
1000	3	9	1	97.3076923077	0.8703703704	97.3076923077	0.8703703704	16.681440115
1000	3	9	2	89.4230769231	-1	89.4230769231	-1	36.2169129848
1000	3	9	3	89.4230769231	-1	89.4230769231	-1	20.9379911423
1000	3	10	1	96.7307692308	0.8571428571	96.7307692308	0.8571428571	16.1913061142
1000	3	10	2	88.2692307692	-1	88.2692307692	-1	36.3652989864
1000	3	10	3	88.2692307692	-1	88.2692307692	-1	21.1153848171
1000	4	1	1	99.2307692308	0.9591836735	99.2307692308	0.9591836735	16.1439900398
1000	4	1	2	92.8846153846	0.5194805195	92.8846153846	0.5194805195	36.4490640163
1000	4	1	3	90.3846153846	-1	90.3846153846	-1	21.8792150021
1000	4	2	1	98.8461538462	0.9318181818	98.8461538462	0.9318181818	15.7756140232
1000	4	2	2	92.6923076923	0.5128205128	92.6923076923	0.5128205128	36.2230770588
1000	4	2	3	91.1538461538	-1	91.1538461538	-1	20.9119360447
1000	4	3	1	99.0384615385	0.9438202247	99.0384615385	0.9438202247	16.3388400078
1000	4	3	2	92.1153846154	0.5287356322	92.1153846154	0.5287356322	36.4058470726
1000	4	3	3	91.1538461538	-1	91.1538461538	-1	21.7870321274
1000	4	4	1	99.2307692308	-1	99.2307692308	-1	16.6151769161
1000	4	4	2	91.9230769231	0.487804878	91.9230769231	0.487804878	37.2950980663
1000	4	4	3	90.1923076923	-1	90.1923076923	-1	20.5953669548
1000	4	5	1	99.2307692308	-1	99.2307692308	-1	16.4528319836
1000	4	5	2	92.5	0.5301204819	92.5	0.5301204819	37.1382710934
1000	4	5	3	91.7307692308	-1	91.7307692308	-1	21.4880580902
1000	4	6	1	98.4615384615	0.9215686275	98.4615384615	0.9215686275	15.9973278046
1000	4	6	2	93.0769230769	0.6326530612	93.0769230769	0.6326530612	36.0681488514
1000	4	6	3	90	-1	90	-1	20.872079134
1000	4	7	1	99.4230769231	-1	99.4230769231	-1	16.2927820683
1000	4	7	2	92.3076923077	0.5238095238	92.3076923077	0.5238095238	36.2705850601
1000	4	7	3	91.5384615385	-1	91.5384615385	-1	21.7524950504
1000	4	8	1	99.2307692308	-1	99.2307692308	-1	16.133491993
1000	4	8	2	93.0769230769	0.6170212766	93.0769230769	0.6170212766	36.4229269028
1000	4	8	3	90.3846153846	-1	90.3846153846	-1	20.9259519577
1000	4	9	1	98.8461538462	0.9387755102	98.8461538462	0.9387755102	15.7961640358
1000	4	9	2	93.2692307692	0.5569620253	93.2692307692	0.5569620253	37.2150928974
1000	4	9	3	90.3846153846	-1	90.3846153846	-1	21.0391821861
1000	4	10	1	99.2307692308	0.9591836735	99.2307692308	0.9591836735	16.5287230015
1000	4	10	2	90.9615384615	0.6050420168	90.9615384615	0.6050420168	37.1001629829
1000	4	10	3	90.3846153846	-1	90.3846153846	-1	20.6122939587
1000	5	1	1	98.0769230769	0.8717948718	98.0769230769	0.8717948718	16.1622571945
1000	5	1	2	93.0769230769	0.5384615385	93.0769230769	0.5384615385	35.4930970669
1000	5	1	3	91.9230769231	-1	91.9230769231	-1	21.3069450855
1000	5	2	1	97.1153846154	0.8192771084	97.1153846154	0.8192771084	16.4229009151
1000	5	2	2	93.8461538462	0.5555555556	93.8461538462	0.5555555556	38.029405117
1000	5	2	3	91.1538461538	-1	91.1538461538	-1	22.0271520615
1000	5	3	1	98.0769230769	0.8648648649	98.0769230769	0.8648648649	18.1606659889
1000	5	3	2	92.8846153846	0.5432098765	92.8846153846	0.5432098765	39.075605154
1000	5	3	3	92.5	-1	92.5	-1	21.8297531605
1000	5	4	1	98.4615384615	0.9047619048	98.4615384615	0.9047619048	17.3735079765
1000	5	4	2	91.7307692308	-1	91.7307692308	-1	38.8167748451
1000	5	4	3	91.7307692308	-1	91.7307692308	-1	23.5120420456
1000	5	5	1	97.6923076923	0.85	97.6923076923	0.85	18.1544129848
1000	5	5	2	93.8461538462	0.6	93.8461538462	0.6	39.4751541615
1000	5	5	3	91.9230769231	-1	91.9230769231	-1	23.1240179539
1000	5	6	1	97.6923076923	0.8333333333	97.6923076923	0.8333333333	18.4412000179
1000	5	6	2	94.4230769231	0.5671641791	94.4230769231	0.5671641791	39.2691178322
1000	5	6	3	92.5	-1	92.5	-1	22.4198880196
1000	5	7	1	98.2692307692	0.8888888889	98.2692307692	0.8888888889	17.0108258724
1000	5	7	2	91.9230769231	0.5714285714	91.9230769231	0.5714285714	39.0031578541
1000	5	7	3	91.7307692308	-1	91.7307692308	-1	23.0040819645
1000	5	8	1	99.0384615385	0.9333333333	99.0384615385	0.9333333333	18.0859677792
1000	5	8	2	93.2692307692	0.5569620253	93.2692307692	0.5569620253	39.2298369408
1000	5	8	3	92.6923076923	-1	92.6923076923	-1	22.6104719639
1000	5	9	1	97.6923076923	0.8333333333	97.6923076923	0.8333333333	17.9008040428
1000	5	9	2	93.8461538462	0.5789473684	93.8461538462	0.5789473684	39.2825460434
1000	5	9	3	92.6923076923	-1	92.6923076923	-1	22.9812600613
1000	5	10	1	98.0769230769	0.8571428571	98.0769230769	0.8571428571	17.3199629784
1000	5	10	2	93.0769230769	0.5609756098	93.0769230769	0.5609756098	38.9642670155
1000	5	10	3	92.6923076923	-1	92.6923076923	-1	22.1980261803
1000	6	1	1	99.0384615385	-1	99.0384615385	-1	15.7746479511
1000	6	1	2	95	-1	95	-1	37.9401171207
1000	6	1	3	95	-1	95	-1	22.8574090004
1000	6	2	1	98.2692307692	0.8301886792	98.2692307692	0.8301886792	17.3055689335
1000	6	2	2	94.2307692308	-1	94.2307692308	-1	38.8782711029
1000	6	2	3	94.2307692308	-1	94.2307692308	-1	22.0043570995
1000	6	3	1	98.8461538462	0.875	98.8461538462	0.875	18.750770092
1000	6	3	2	95.1923076923	-1	95.1923076923	-1	39.9691338539
1000	6	3	3	95.1923076923	-1	95.1923076923	-1	22.8466689587
1000	6	4	1	98.6538461538	-1	98.6538461538	-1	17.2153189182
1000	6	4	2	94.2307692308	-1	94.2307692308	-1	39.124974966
1000	6	4	3	94.2307692308	-1	94.2307692308	-1	22.2061491013
1000	6	5	1	99.0384615385	0.9019607843	99.0384615385	0.9019607843	17.8001558781
1000	6	5	2	95	-1	95	-1	39.2746829987
1000	6	5	3	95	-1	95	-1	23.2828910351
1000	6	6	1	98.6538461538	0.8372093023	98.6538461538	0.8372093023	18.1345911026
1000	6	6	2	95.5769230769	-1	95.5769230769	-1	39.5963439941
1000	6	6	3	95.5769230769	-1	95.5769230769	-1	22.2293920517
1000	6	7	1	98.8461538462	-1	98.8461538462	-1	17.1026010513
1000	6	7	2	94.8076923077	-1	94.8076923077	-1	38.6221909523
1000	6	7	3	94.8076923077	-1	94.8076923077	-1	21.4980239868
1000	6	8	1	98.8461538462	-1	98.8461538462	-1	16.8712158203
1000	6	8	2	97.5	0.7111111111	97.5	0.7111111111	38.9361929893
1000	6	8	3	95	-1	95	-1	22.8305358887
1000	6	9	1	98.6538461538	-1	98.6538461538	-1	17.4278578758
1000	6	9	2	94.6153846154	-1	94.6153846154	-1	40.0966608524
1000	6	9	3	94.6153846154	-1	94.6153846154	-1	22.3368430138
1000	6	10	1	98.8461538462	0.88	98.8461538462	0.88	17.7164180279
1000	6	10	2	95	-1	95	-1	39.6559550762
1000	6	10	3	95	-1	95	-1	22.8836770058
1000	7	1	1	99.2307692308	0.8461538462	99.2307692308	0.8461538462	17.0347008705
1000	7	1	2	97.3076923077	-1	97.3076923077	-1	39.6239509583
1000	7	1	3	97.3076923077	-1	97.3076923077	-1	22.8684229851
1000	7	2	1	98.8461538462	0.7857142857	98.8461538462	0.7857142857	17.227725029
1000	7	2	2	97.3076923077	-1	97.3076923077	-1	38.5155220032
1000	7	2	3	97.3076923077	-1	97.3076923077	-1	22.4113390446
1000	7	3	1	98.8461538462	0.8	98.8461538462	0.8	17.3610010147
1000	7	3	2	97.3076923077	-1	97.3076923077	-1	38.306853056
1000	7	3	3	97.3076923077	-1	97.3076923077	-1	23.1268470287
1000	7	4	1	99.6153846154	-1	99.6153846154	-1	17.2730360031
1000	7	4	2	97.6923076923	-1	97.6923076923	-1	38.4385530949
1000	7	4	3	97.6923076923	-1	97.6923076923	-1	22.8570699692
1000	7	5	1	99.2307692308	0.8888888889	99.2307692308	0.8888888889	17.994631052
