,Error,n_iter,fit_intercept,alpha_2,tol,alpha_1,log_y,normv
0,1107.26788164,350.0,1.0,1e-06,0.001,1e-06,0.0,1.0
1,0.173362299774,262.153097747,1.0,0.000360567160689,0.0079646661694,0.000870603027914,1.0,1.0
2,0.173362299775,487.993423194,1.0,0.0075586668336,0.0089663943778,0.00689348402752,1.0,1.0
3,0.173362299774,165.313415215,1.0,0.00127879408611,0.00691031901861,0.0042787999126,1.0,1.0
4,0.173362299774,184.941229685,1.0,0.0055643112403,0.0010310697448,0.00404954129074,1.0,1.0
5,0.173362299775,55.3469162004,1.0,0.00860304249681,0.00606458954879,0.00478158418496,1.0,1.0
6,0.173362299774,214.97523122,1.0,0.00206357640358,0.00606946125408,0.00958355146689,1.0,1.0
7,0.173362299774,405.914669609,1.0,0.00625449008726,0.00350233731952,0.00795968577419,1.0,1.0
8,0.173362299775,477.39708454,1.0,0.00907304695247,0.00365083614746,0.00468499122791,1.0,1.0
9,0.173362299775,159.432613757,1.0,0.00639054118333,0.00830375321203,0.00369418544729,1.0,1.0
10,0.173362299774,430.279146194,1.0,0.00354712520276,0.00152445072046,0.000725798400723,1.0,1.0
11,0.173362299774,278.986935998,1.0,0.00153281149722,0.000871329671631,0.0098841260334,1.0,1.0
12,0.173362299775,471.301057774,1.0,0.00661588422499,0.00641249777725,0.0060164846088,1.0,1.0
13,0.173362299774,241.780374139,1.0,0.00866800651785,0.00242556330071,0.00738939893568,1.0,1.0
14,0.173362299774,349.937578728,1.0,0.00235585647672,0.00549037158662,0.00253842840753,1.0,1.0
15,0.173362299774,116.428416686,1.0,0.00680505376894,0.000656635798907,0.00752124854298,1.0,1.0
16,0.173362299775,221.750157205,1.0,0.00471340963151,0.00579671122118,0.00295948837115,1.0,1.0
17,0.173362299775,101.108270934,1.0,0.00443463755076,0.00805090281911,0.0031896355463,1.0,1.0
18,0.173362299775,200.788905983,1.0,0.00755824288102,0.0079737698759,0.00658060407313,1.0,1.0
19,0.173362299774,479.39785625,1.0,0.00919420599075,0.000942988879826,0.00637406068176,1.0,1.0
20,0.173362299774,124.279302134,1.0,0.0039759545742,0.00756779825754,0.00931801631955,1.0,1.0
21,0.173362299775,191.198958103,1.0,0.0038618363901,0.00977896590168,0.00221207155341,1.0,1.0
22,0.173362299774,153.835722942,1.0,0.00470148596296,0.00208422451905,0.00719014525819,1.0,1.0
23,0.173362299774,469.929436021,1.0,0.00176670380955,0.00909652894905,0.00149939941372,1.0,1.0
24,0.173362299774,301.059953416,1.0,0.00890827313288,0.00426525229973,0.00338379164147,1.0,1.0
25,0.173362299774,412.554972837,1.0,0.00862125477215,0.000171287178996,0.00679176643732,1.0,1.0
26,0.173362299774,208.413380417,1.0,0.00461162340638,0.000663864190267,0.000821320636507,1.0,1.0
27,0.173362299775,132.937126533,1.0,0.00535318148813,0.00519109520141,0.00902196943291,1.0,1.0
28,0.173362299774,374.728350879,1.0,0.00565731912097,0.00118167080866,0.00492737057171,1.0,1.0
29,0.173362299774,375.039486564,1.0,0.00361448973925,0.00173135661115,0.00456619612002,1.0,1.0
30,0.173362299775,38.6701209467,1.0,0.00610824142228,0.00794869604608,0.00916265073982,1.0,1.0
31,0.173362299774,254.236440248,1.0,0.00490513543764,0.00369026077212,0.0040395009702,1.0,1.0
32,0.173362299774,399.738629201,1.0,0.00674086664097,0.00186082527997,0.00717874207137,1.0,1.0
33,0.173362299775,379.735858551,1.0,0.00634493215785,0.00648202206654,0.00320472879568,1.0,1.0
34,0.173362299774,336.018737791,1.0,0.00566492403725,0.00222910318657,0.00350632617444,1.0,1.0
35,0.173362299775,379.498487819,1.0,0.00387543506142,0.0073266663113,0.00407376072444,1.0,1.0
36,0.173362299775,58.1888954872,1.0,0.00659909693682,0.0098402686623,0.00682509723273,1.0,1.0
37,0.173362299774,414.182915174,1.0,0.00149391307761,0.00726787756371,0.0042014777537,1.0,1.0
38,0.173362299775,18.0366744745,1.0,0.00847414775276,0.00896525278283,0.00165977512838,1.0,1.0
39,0.173362299775,439.274335505,1.0,0.00766146672743,0.00100564912042,0.00587621115318,1.0,1.0
40,0.173362299775,22.753583736,1.0,0.00470759798553,0.00628018268767,0.0095927475906,1.0,1.0
41,0.173362299774,269.198941382,1.0,0.00204816745339,0.00774664176471,0.00334802660734,1.0,1.0
42,0.173362299775,496.803769855,1.0,0.00817364834148,0.00750278318332,0.00837454995201,1.0,1.0
43,0.173362299775,45.0169847176,1.0,0.0088173296958,0.00571651245424,0.00144667327034,1.0,1.0
44,0.173362299774,333.784648246,1.0,0.00924423869997,0.00552249330957,0.00494061121684,1.0,1.0
45,0.173362299774,64.6357202522,1.0,0.00126275015114,0.00476242094138,0.00363886233816,1.0,1.0
46,0.173362299775,247.031595483,1.0,0.00224513065492,0.00587275009939,0.00161551420201,1.0,1.0
47,0.173362299774,402.587730844,1.0,0.0041875868494,0.00843438308346,0.00949457834462,1.0,1.0
48,0.173362299774,103.583452718,1.0,0.00604162412509,0.00192760097311,0.00443786022812,1.0,1.0
49,0.173362299775,288.579052933,1.0,0.00954481913095,0.00803040860086,0.00932017176392,1.0,1.0
