Model,Validation Accuracy,Test Accuracy,Negative Predictive Value
Support Vector Machines,89.69136135542006,90.165128703254,0.21551724137931033
Random Forest,90.62213349160956,90.99077221952405,0.4245689655172414
K-Nearest-neighbors,89.14368963470565,89.65517241379311,0.0
Support Vector Machines,91.02411913883344,91.33074307916465,0.41379310344827586
Gradient Boosting Classifier,91.64733178654292,91.57357940747936,0.5150862068965517
AdaBoost Classifier,91.0753790535801,91.25789218067023,0.41163793103448276
